,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,neighborhood,postalCode,state
588,5700 N Lake Shore Dr,Park,US,Chicago,United States,btwn Glenlake Ave & Grand Ave,1035,"['5700 N Lake Shore Dr (btwn Glenlake Ave & Grand Ave)', 'Chicago, IL 60614', 'United States']",4f6b838d7bebf48a25686d52,,41.92607577,-87.6363004,Lincoln Park,,60614,IL
88,2430 W Logan Blvd,Park,US,Chicago,United States,at Logan Blvd.,1029,"['2430 W Logan Blvd (at Logan Blvd.)', 'Chicago, IL 60647', 'United States']",4f6b838d7bebf48a25686d58,"[{'label': 'display', 'lat': 41.92863880288686, 'lng': -87.68981243105549}]",41.9286388,-87.68981243,Logan Boulevard Skate Park,,60647,IL
275,1031 N State St,Park,US,Chicago,United States,at Rush St,602,"['1031 N State St (at Rush St)', 'Chicago, IL 60610', 'United States']",4f6b838d7bebf48a25686d6c,,41.90174202,-87.62824059,Mariano Park,,60610,IL
15,922 W Fletcher St,Park,US,Chicago,United States,,695,"['922 W Fletcher St', 'Chicago, IL 60657', 'United States']",4f6b838d7bebf48a25686d71,"[{'label': 'display', 'lat': 41.938963, 'lng': -87.65235}]",41.938963,-87.65235,Martin (Johnny) Park,,60657,IL
1729,3736 N Marshfield Ave,Park,US,Chicago,United States,btw. Grace St. & Waveland Ave.,1203,"['3736 N Marshfield Ave (btw. Grace St. & Waveland Ave.)', 'Chicago, IL 60613', 'United States']",4f6b838d7bebf48a25686d85,"[{'label': 'display', 'lat': 41.94995549316781, 'lng': -87.66955733299255}]",41.94995549,-87.66955733,Merryman (Theron) Park,,60613,IL
687,2533 N Sacramento Ave,Park,US,Chicago,United States,,768,"['2533 N Sacramento Ave', 'Chicago, IL 60647', 'United States']",4f6b838d7bebf48a25686da8,"[{'label': 'display', 'lat': 41.92767818637056, 'lng': -87.70238785335049}]",41.92767819,-87.70238785,Neighbors Garden Park,,60647,IL
468,2645 N Sheffield Ave,Park,US,Chicago,United States,,1108,"['2645 N Sheffield Ave', 'Chicago, IL 60614', 'United States']",4f6b838e7bebf48a25686dac,"[{'label': 'display', 'lat': 41.9306816598464, 'lng': -87.65348638455794}]",41.93068166,-87.65348638,Noethling (Grace) Park,,60614,IL
213,1419 W Blackhawk St,Park,US,Chicago,United States,,1009,"['1419 W Blackhawk St', 'Chicago, IL 60642', 'United States']",4f6b838f7bebf48a25686e26,"[{'label': 'display', 'lat': 41.906250141738454, 'lng': -87.66372166508607}]",41.90625014,-87.66372167,Pulaski Park,,60642,IL
94,2415 N Marshfield Ave,Park,US,Chicago,United States,,988,"['2415 N Marshfield Ave', 'Chicago, IL 60614', 'United States']",4f6b838f7bebf48a25686e4f,"[{'label': 'display', 'lat': 41.9258032033006, 'lng': -87.66909125784348}]",41.9258032,-87.66909126,Schaefer (Edward) Park,,60614,IL
459,3505 N Southport Ave,Park,US,Chicago,United States,,746,"['3505 N Southport Ave', 'Chicago, IL 60657', 'United States']",4f6b838f7bebf48a25686e5c,"[{'label': 'display', 'lat': 41.94544278928071, 'lng': -87.66376790155651}]",41.94544279,-87.6637679,Sheil (Bernard) Community Center,,60657,IL
132,618 W Scott St,Park,US,Chicago,United States,,649,"['618 W Scott St', 'Chicago, IL 60610', 'United States']",4f6b838f7bebf48a25686e70,"[{'label': 'display', 'lat': 41.905724, 'lng': -87.646234}]",41.905724,-87.646234,Stanton (Edwin) Park,,60610,IL
1889,2100 W Lawrence Ave,Park,US,Chicago,United States,,502,"['2100 W Lawrence Ave', 'Chicago, IL 60625', 'United States']",4f6b83907bebf48a25686ea5,"[{'label': 'display', 'lat': 41.96880766676217, 'lng': -87.68176300691297}]",41.96880767,-87.68176301,Vogle (Henry Jr.) Park,,60625,IL
200,1722 N Ashland Ave,Park,US,Chicago,United States,,850,"['1722 N Ashland Ave', 'Chicago, IL 60614', 'United States']",4f6b83907bebf48a25686eab,"[{'label': 'display', 'lat': 41.90611109976241, 'lng': -87.66648801821306}]",41.9061111,-87.66648802,Walsh (John) Park,,60614,IL
29,901 W Oakdale Ave,Park,US,Chicago,United States,,844,"['901 W Oakdale Ave', 'Chicago, IL 60657', 'United States']",4f6b83907bebf48a25686eb8,"[{'label': 'display', 'lat': 41.93643545449986, 'lng': -87.64813904226631}]",41.93643545,-87.64813904,Weisman (Albert) Park,,60657,IL
10,667 W Roscoe St,Park,US,Chicago,United States,Halstead,80,"['667 W Roscoe St (Halstead)', 'Chicago, IL 60657', 'United States']",4f6b83907bebf48a25686eba,"[{'label': 'display', 'lat': 41.94329470750407, 'lng': -87.6471417658566}]",41.94329471,-87.64714177,Wendt (Kenneth) Park,,60657,IL
829,,Movie Theater,US,Chicago,United States,,485,"['Chicago, IL 60611', 'United States']",4f6bf5b3e4b0e20e135398d7,"[{'label': 'display', 'lat': 41.89109305574582, 'lng': -87.62728324033493}]",41.89109306,-87.62728324,Happy Hunting,,60611,IL
